"Weekly Mumps Incidence, 1968-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1968,44,-,3.86,-,0.11,0.97,1.84,1.15,0.37,-,0.11,0.02,0.41,0.58,0.26,0.43,6.21,-,1.13,0.06,2.41,0.18,1.25,1.09,1.57,-,0.42,0.43,0.14,-,-,1.01,1.31,-,-,5.48,0.34,0.04,0.80,-,1.95,0.16,-,0.59,0.83,1.26,8.84,0.11,-,1.87,4.14,-
1968,45,-,10.53,1.49,-,1.42,1.56,2.60,0.56,0.77,0.56,-,-,0.43,0.29,0.71,4.85,-,0.63,-,1.61,0.42,1.51,1.45,0.03,0.09,0.07,-,0.27,-,-,0.67,2.41,-,-,1.29,0.34,0.04,0.90,-,1.08,0.74,-,0.77,1.07,0.97,6.98,0.11,3.52,2.67,3.52,-
1968,46,-,5.61,1.07,-,0.14,1.46,1.25,0.19,-,0.47,-,-,1.01,0.63,0.69,9.06,0.09,1.22,0.03,0.70,0.16,1.92,1.87,0.03,-,0.11,3.00,0.68,-,2.26,0.70,2.31,-,-,9.82,0.32,0.92,1.25,-,2.17,0.47,-,0.88,1.13,2.24,6.05,0.37,3.30,4.20,4.33,-
1968,47,-,4.91,0.65,-,1.72,1.70,2.06,0.37,-,0.61,-,0.54,-,0.88,0.94,6.92,0.09,1.28,0.36,2.11,0.37,1.74,2.24,-,-,0.63,0.57,0.75,-,2.68,0.47,2.52,-,-,3.06,0.29,0.12,1.45,-,3.47,0.94,-,0.90,0.74,0.68,4.65,0.24,3.64,4.14,4.53,0.31
1968,48,-,3.86,1.01,-,1.02,1.37,2.19,0.37,0.13,0.33,-,0.82,0.14,0.15,0.86,6.14,0.32,0.85,-,3.82,0.42,2.44,0.89,0.19,-,2.85,2.57,0.48,-,0.14,0.39,0.30,-,-,9.34,0.48,0.08,0.15,-,6.94,0.51,-,0.54,0.46,0.19,7.91,0.15,5.14,3.06,6.49,-
1968,49,0.03,16.14,3.39,-,1.82,1.27,1.92,1.50,0.77,0.42,-,1.91,0.86,0.75,-,6.64,1.35,0.63,-,5.13,0.47,1.78,0.98,-,-,0.11,0.29,0.61,-,0.28,2.11,4.33,-,-,7.09,0.29,0.04,0.60,-,3.90,0.66,-,1.65,1.59,1.75,20.47,0.15,3.73,2.84,4.37,-
1968,50,0.06,3.86,1.01,0.05,1.35,1.42,2.94,0.75,-,0.14,-,2.04,0.72,0.52,1.65,5.96,-,2.16,-,5.53,0.16,2.60,2.30,0.03,0.05,0.11,2.71,0.07,-,1.27,0.40,2.11,-,-,-,0.76,0.28,1.20,-,2.49,0.47,-,0.93,2.11,2.14,13.02,0.20,4.68,6.52,6.58,-
1968,51,0.06,4.56,1.37,-,1.20,1.79,4.55,0.19,-,-,-,1.36,0.29,-,3.00,10.31,-,0.88,-,2.82,0.73,3.20,1.76,0.08,0.05,0.04,1.29,1.23,-,-,1.21,2.41,-,-,4.19,0.57,1.08,1.20,-,-,0.94,-,0.64,-,0.49,0.23,0.11,5.26,3.57,6.63,-
1968,52,-,7.72,2.02,-,2.03,1.23,1.92,-,-,0.51,-,1.36,1.29,0.18,1.35,3.07,-,0.78,0.06,1.41,0.10,2.01,0.85,0.22,-,0.07,4.00,-,-,-,1.18,1.91,-,-,-,0.33,0.60,-,-,1.95,0.31,-,0.77,0.95,0.49,1.63,0.31,0.52,1.70,3.96,-
1969,1,0.09,-,-,-,0.60,0.51,1.90,-,-,0.44,-,1.60,-,0.13,0.82,2.00,-,1.16,-,3.23,0.59,1.10,0.42,-,0.05,0.15,4.61,0.41,-,-,0.49,2.77,-,-,1.45,0.29,0.12,0.68,-,3.43,0.86,-,0.54,1.67,0.10,12.36,0.04,0.42,1.83,2.97,-
